date,product_id,warehouse_id,units_sold
2023-01-01,PHM0001,WH1,64
2023-01-08,PHM0001,WH1,64
2023-01-15,PHM0001,WH1,72
2023-01-22,PHM0001,WH1,80
2023-01-29,PHM0001,WH1,74
2023-02-05,PHM0001,WH1,77
2023-02-12,PHM0001,WH1,89
2023-02-19,PHM0001,WH1,88
2023-02-26,PHM0001,WH1,84
2023-03-05,PHM0001,WH1,91
2023-03-12,PHM0001,WH1,87
2023-03-19,PHM0001,WH1,88
2023-03-26,PHM0001,WH1,92
2023-04-02,PHM0001,WH1,82
2023-04-09,PHM0001,WH1,83
2023-04-16,PHM0001,WH1,88
2023-04-23,PHM0001,WH1,84
2023-04-30,PHM0001,WH1,90
2023-05-07,PHM0001,WH1,82
2023-05-14,PHM0001,WH1,77
2023-05-21,PHM0001,WH1,89
2023-05-28,PHM0001,WH1,77
2023-06-04,PHM0001,WH1,76
2023-06-11,PHM0001,WH1,65
2023-06-18,PHM0001,WH1,66
2023-06-25,PHM0001,WH1,66
2023-07-02,PHM0001,WH1,56
2023-07-09,PHM0001,WH1,60
2023-07-16,PHM0001,WH1,51
2023-07-23,PHM0001,WH1,49
2023-07-30,PHM0001,WH1,45
2023-08-06,PHM0001,WH1,54
2023-08-13,PHM0001,WH1,42
2023-08-20,PHM0001,WH1,34
2023-08-27,PHM0001,WH1,41
2023-09-03,PHM0001,WH1,29
2023-09-10,PHM0001,WH1,34
2023-09-17,PHM0001,WH1,23
2023-09-24,PHM0001,WH1,25
2023-10-01,PHM0001,WH1,32
2023-10-08,PHM0001,WH1,35
2023-10-15,PHM0001,WH1,33
2023-10-22,PHM0001,WH1,33
2023-10-29,PHM0001,WH1,33
2023-11-05,PHM0001,WH1,29
2023-11-12,PHM0001,WH1,35
2023-11-19,PHM0001,WH1,39
2023-11-26,PHM0001,WH1,50
2023-12-03,PHM0001,WH1,49
2023-12-10,PHM0001,WH1,42
2023-12-17,PHM0001,WH1,56
2023-12-24,PHM0001,WH1,56
2023-12-31,PHM0001,WH1,58
2024-01-07,PHM0001,WH1,68
2024-01-14,PHM0001,WH1,74
2024-01-21,PHM0001,WH1,77
2024-01-28,PHM0001,WH1,71
2024-02-04,PHM0001,WH1,77
2024-02-11,PHM0001,WH1,83
2024-02-18,PHM0001,WH1,89
2024-02-25,PHM0001,WH1,84
2024-03-03,PHM0001,WH1,87
2024-03-10,PHM0001,WH1,84
2024-03-17,PHM0001,WH1,85
2024-03-24,PHM0001,WH1,95
2024-03-31,PHM0001,WH1,98
2024-04-07,PHM0001,WH1,91
2024-04-14,PHM0001,WH1,96
2024-04-21,PHM0001,WH1,91
2024-04-28,PHM0001,WH1,85
2024-05-05,PHM0001,WH1,88
2024-05-12,PHM0001,WH1,92
2024-05-19,PHM0001,WH1,81
2024-05-26,PHM0001,WH1,86
2024-06-02,PHM0001,WH1,62
2024-06-09,PHM0001,WH1,76
2024-06-16,PHM0001,WH1,69
2024-06-23,PHM0001,WH1,64
2024-06-30,PHM0001,WH1,62
2024-07-07,PHM0001,WH1,48
2024-07-14,PHM0001,WH1,53
2024-07-21,PHM0001,WH1,53
2024-07-28,PHM0001,WH1,55
2024-08-04,PHM0001,WH1,42
2024-08-11,PHM0001,WH1,38
2024-08-18,PHM0001,WH1,37
2024-08-25,PHM0001,WH1,41
2024-09-01,PHM0001,WH1,37
2024-09-08,PHM0001,WH1,31
2024-09-15,PHM0001,WH1,35
2024-09-22,PHM0001,WH1,32
2024-09-29,PHM0001,WH1,36
2024-10-06,PHM0001,WH1,28
2024-10-13,PHM0001,WH1,31
2024-10-20,PHM0001,WH1,31
2024-10-27,PHM0001,WH1,28
2024-11-03,PHM0001,WH1,38
2024-11-10,PHM0001,WH1,40
2024-11-17,PHM0001,WH1,42
2024-11-24,PHM0001,WH1,43
2024-12-01,PHM0001,WH1,40
2024-12-08,PHM0001,WH1,49
2024-12-15,PHM0001,WH1,53
2024-12-22,PHM0001,WH1,54
2023-01-01,PHM0001,WH2,61
2023-01-08,PHM0001,WH2,67
2023-01-15,PHM0001,WH2,78
2023-01-22,PHM0001,WH2,73
2023-01-29,PHM0001,WH2,77
2023-02-05,PHM0001,WH2,78
2023-02-12,PHM0001,WH2,72
2023-02-19,PHM0001,WH2,84
2023-02-26,PHM0001,WH2,86
2023-03-05,PHM0001,WH2,100
2023-03-12,PHM0001,WH2,89
2023-03-19,PHM0001,WH2,92
2023-03-26,PHM0001,WH2,91
2023-04-02,PHM0001,WH2,86
2023-04-09,PHM0001,WH2,97
2023-04-16,PHM0001,WH2,94
2023-04-23,PHM0001,WH2,94
2023-04-30,PHM0001,WH2,84
2023-05-07,PHM0001,WH2,93
2023-05-14,PHM0001,WH2,77
2023-05-21,PHM0001,WH2,84
2023-05-28,PHM0001,WH2,89
2023-06-04,PHM0001,WH2,70
